id,duration_ms,pred,arr_len
1,9.473,True,373
1,4.678,True,873
1,3.527,False,99
1,2.934,False,599
1,2.184,False,1013
2,2.294,False,354
2,3.11,False,854
2,2.852,False,996
3,3.379,False,211
3,1.9989999999999999,False,711
3,2.424,False,1010
4,1.9980000000000002,False,30
4,4.306,False,530
4,0.9959999999999999,False,1010
33,1.32,False,414
33,0.606,True,914
33,1.535,True,1013
34,1.9949999999999999,False,330
34,0.998,True,830
34,0.9959999999999999,True,996
35,0.9959999999999999,False,3
35,0.993,False,503
35,1.881,True,1003
35,0.9959999999999999,True,1010
36,2.9,False,478
36,0.9959999999999999,True,978
36,3.853,True,1010
1,0.9990000000000001,False,198
1,2.8449999999999998,False,698
1,2.094,False,1013
2,0.9959999999999999,False,339
2,1.194,False,839
2,2.269,False,996
3,2.042,False,480
3,0.9959999999999999,False,980
3,1.9819999999999998,False,1010
4,1.9949999999999999,False,373
4,1.578,False,873
4,0.912,False,1010
1,1.157,False,498
1,0.998,False,998
1,2.169,False,1013
2,0.742,False,271
2,0.0,False,771
2,1.217,False,996
3,0.9970000000000001,False,132
3,0.0,True,632
3,0.9959999999999999,True,1010
1,1.467,False,31
1,0.9970000000000001,False,531
1,0.998,False,1013
1,0.9970000000000001,False,157
1,1.577,False,657
1,1.9980000000000002,False,1013
2,0.9959999999999999,False,86
2,0.9990000000000001,False,586
2,1.024,False,996
3,1.9949999999999999,False,455
3,2.424,True,955
3,2.437,True,1010
1,0.9970000000000001,False,428
1,0.998,False,928
1,3.691,False,1013
2,0.9959999999999999,False,212
2,1.236,False,712
2,0.9990000000000001,False,996
3,0.746,False,75
3,1.996,False,575
3,1.537,False,1010
4,2.449,False,427
4,0.5730000000000001,False,927
4,3.243,False,1010
5,1.9940000000000002,False,39
5,1.84,False,539
5,0.998,False,1013
6,2.1029999999999998,False,310
6,1.002,False,810
6,0.537,False,996
7,2.312,False,489
7,3.016,False,989
7,2.0300000000000002,False,1010
8,2.128,False,52
8,0.998,False,552
8,0.9970000000000001,False,1010
5,0.0,False,249
5,2.0500000000000003,True,749
5,1.943,True,1013
6,0.521,False,189
6,1.256,False,689
6,0.9959999999999999,False,996
7,1.001,False,366
7,1.388,False,866
7,1.1869999999999998,False,1010
8,0.9959999999999999,False,32
8,1.039,False,532
8,0.9779999999999999,False,1010
9,2.246,False,494
9,0.0,False,994
9,0.9990000000000001,False,1013
10,1.938,False,476
10,0.0,False,976
10,1.991,False,996
11,0.998,False,438
11,2.0709999999999997,False,938
11,0.9970000000000001,False,1010
12,1.272,False,24
12,1.915,False,524
12,2.3890000000000002,False,1010
9,1.9940000000000002,False,241
9,1.641,False,741
9,0.998,False,1013
10,1.343,False,2
10,1.766,False,502
10,0.9970000000000001,False,996
11,0.9990000000000001,False,329
11,3.576,False,829
11,1.251,False,1010
12,0.9970000000000001,False,197
12,1.905,False,697
12,1.148,False,1010
13,1.242,False,436
13,0.998,False,936
13,1.759,False,1013
14,1.9940000000000002,False,111
14,2.211,False,611
14,0.842,False,996
15,1.9940000000000002,False,374
15,1.9980000000000002,False,874
15,2.132,False,1010
16,0.644,False,220
16,1.9880000000000002,False,720
16,2.049,False,1010
13,1.5590000000000002,False,458
13,1.9940000000000002,False,958
13,1.9949999999999999,False,1013
14,1.875,False,124
14,0.9970000000000001,False,624
14,2.52,False,996
15,1.9940000000000002,False,310
15,0.9959999999999999,False,810
15,0.0,False,1010
16,1.9949999999999999,False,132
16,1.0,True,632
16,2.312,False,1010
17,0.9970000000000001,False,379
17,1.0,False,879
17,2.213,False,1013
18,2.39,False,344
18,1.003,False,844
18,0.0,False,996
19,1.1139999999999999,False,322
19,2.347,False,822
19,2.173,False,1010
20,1.218,False,356
20,0.0,False,856
20,1.0,False,1010
21,1.039,False,391
21,1.0,False,891
21,1.909,False,1013
22,1.5859999999999999,False,70
22,1.359,False,570
22,0.998,False,996
23,1.075,False,7
23,2.041,False,507
23,0.9970000000000001,False,1007
23,1.211,False,1010
24,0.9970000000000001,False,476
24,2.1350000000000002,False,976
24,0.998,False,1010
25,0.9600000000000001,False,435
25,0.451,False,935
25,1.155,False,1013
26,0.9970000000000001,False,440
26,1.331,False,940
26,0.9990000000000001,False,996
27,1.735,False,336
27,1.2080000000000002,False,836
27,3.305,False,1010
28,1.9940000000000002,False,206
28,1.812,False,706
28,1.3840000000000001,False,1010
29,0.9970000000000001,False,248
29,0.0,False,748
29,1.9919999999999998,False,1013
30,1.9949999999999999,False,126
30,1.746,False,626
30,5.241,False,996
31,0.948,False,425
31,3.992,True,925
31,2.39,True,1010
32,1.296,False,33
32,5.894,False,533
32,1.504,True,1010
